ED,ActualX,ActualY,LS_X,LS_Y,LS_Error,WLS_X,WLS_Y,WLS_Error,NLLS_X,NLLS_Y,NLLS_Error,BB_X,BB_Y,BB_Error
0,366.629,361.968,324.512,403.595,59.2175,331.411,403.361,54.348,325.951,392.525,50.8765,115.157,296.189,259.932
1,-231.023,-439.531,-205.806,-404.375,43.2642,-205.971,-405.562,42.2076,-205.997,-408.702,39.7076,-190.676,-210.504,232.554
2,-26.6799,775.426,-21.7809,775.52,4.89995,-82.6003,776.036,55.9238,-42.4623,776.045,15.7946,-71.9928,606.941,174.472
3,265.009,-308.8,267.879,-322.828,14.3187,266.539,-338.115,29.3555,264.219,-316.773,8.01245,265.544,-213.36,95.4411
4,178.492,-98.5159,182.899,-98.1059,4.42597,182.712,-98.37,4.22202,186.057,-107.078,11.4253,188.96,-24.7816,74.4736
5,262.836,-378.562,305.033,-339.306,57.6345,306.29,-330.265,64.9684,295.752,-356.9,39.4049,293.626,-238.444,143.461
6,305.441,-320.629,271.876,-342.985,40.329,270.175,-331.561,36.9221,257.988,-355.601,58.9477,263.689,-217.404,111.349
7,-411.463,-604.047,-391.434,-649.872,50.0113,-392.982,-649.488,49.0562,-388.231,-652.964,54.1538,-305.884,-278.471,342.267
8,363.174,577.015,327.298,578.257,35.8971,327.298,578.255,35.8974,327.666,578.357,35.5328,-1.84093,416.498,398.75
9,295.012,-889.884,214.062,-935.391,92.8645,214.014,-935.746,93.0802,253.781,-879.244,42.5809,126.578,-267.902,644.385
10,-636.058,-613.282,-642.435,-586.006,28.0114,-643.664,-586.884,27.4715,-643.598,-601.859,13.6868,-433.413,-302.321,371.162
11,-255.025,-736.32,-226.191,-625.627,114.387,-229.996,-627.472,111.689,-229.589,-671.227,69.8865,-185.736,-270.506,470.939
12,358.715,432.901,386.038,392.842,48.4901,379.158,390.394,47.1678,384.599,408.637,35.4782,127.085,270.975,282.617
13,321.577,-310.631,311.595,-341.927,32.8497,312.981,-342.643,33.1464,311.286,-326.817,19.1806,305.232,-244.131,68.4783
14,659.754,-518.362,653.634,-525.492,9.39594,651.741,-535.513,18.9303,648.786,-509.35,14.1965,442.866,-282.122,320.703
15,2.89435,-12.9085,27.4513,32.3531,51.4942,26.6144,32.0379,50.8215,26.0979,14.7605,36.1107,32.8526,148.093,163.765
16,724.358,-15.1338,752.144,-6.55578,29.0797,746.956,-18.5096,22.8483,739.136,-13.9588,14.8246,477.332,-153.695,283.234
17,749.78,356.906,639.166,418.694,126.702,640.244,420.048,126.432,637.213,395.136,118.882,250.232,171.857,532.72
18,636.797,629.837,624.889,640.36,15.891,629.006,641.041,13.6465,623.984,629.31,12.8244,113.435,295.031,621.292
19,-150.385,-986.579,-147.235,-954.381,32.3508,-149.551,-954.908,31.6816,-150.265,-979.031,7.54806,-75.7406,-263.308,727.112
20,-764.738,159.78,-740.674,222.498,67.1767,-729.798,214.208,64.6779,-754.763,171.99,15.7668,-390.683,10.7991,402.631
21,-366.627,173.931,-336.649,202.97,41.7366,-334.942,202.219,42.4755,-347.491,196.492,29.5838,-234.16,165.923,132.709
22,-420.542,-639.806,-398.691,-637.89,21.9353,-399.333,-638,21.2856,-402.144,-637.289,18.5699,-309.896,-303.595,353.95
23,-58.4995,528.04,-53.5639,564.067,36.3632,-67.4321,567.809,40.7602,-51.4702,566.315,38.9154,-55.5128,585.203,57.2405
24,-437.774,-439.775,-441.802,-405.35,34.6598,-443.121,-405.818,34.3752,-433.392,-419.573,20.6718,-410.488,-305.339,137.177
25,-84.8654,-573.197,-66.2206,-558.762,23.5794,-65.8865,-558.429,24.048,-74.0185,-571.159,11.0367,-72.2995,-189.485,383.917
26,-5.92907,-788.645,1.44668,-825.236,37.3268,6.12119,-826.003,39.2526,5.82921,-780.84,14.113,-10.1885,-198.212,590.449
27,-18.6053,-721.664,-51.5281,-728.078,33.5419,-50.1136,-728.479,32.237,-48.0631,-729.181,30.4019,-51.9649,-213.669,509.089
28,-9.56567,933.8,-1.61703,874.624,59.7073,18.0376,872.142,67.554,5.0127,867.496,67.8872,-56.3145,618.837,318.413
29,-822.702,349.032,-822.038,395.122,46.0942,-825.688,393.762,44.829,-836.753,405.273,57.9691,-323.203,146.16,539.126
30,-79.5203,163.417,-20.993,165.65,58.5699,-21.4631,163.944,58.0595,-23.6298,156.119,56.3649,-16.7415,246.037,103.766
31,-595.603,-104.131,-559.687,-89.4207,38.8113,-548.483,-91.4605,48.7934,-568.174,-99.4907,27.8186,-455.551,-178.829,158.727
32,-391.152,-181.101,-354.947,-202.605,42.1091,-354.361,-202.203,42.413,-354.91,-201.729,41.701,-341.035,-187.604,50.5366
33,935.023,-55.945,978.523,-57.0756,43.5152,953.792,-109.549,56.7951,923.027,-0.00286300,57.2138,489.092,-208.495,471.302
34,-763.478,-23.1869,-721.747,-31.1235,42.4793,-719.393,-33.6561,45.3116,-720.958,-55.6255,53.4811,-467.4,-150.063,322.118
35,-345.231,-23.5262,-372.421,3.07186,38.0363,-367.089,1.162,32.974,-386.147,-0.536703,46.9323,-314.552,-43.4255,36.5679
36,209.331,192.946,62.9484,82.3384,183.472,58.4537,79.5798,188.721,129.432,134.814,98.8089,211.137,189.582,3.81769
37,-224.361,557.713,-180.144,541.901,46.9592,-111.872,520.666,118.433,-213.634,520.948,38.2976,-74.3193,527.687,153.017
38,840.142,16.9912,832.876,5.24583,13.8109,830.175,0.724227,19.0776,822.969,9.37667,18.7852,478.827,-135.282,392.091
39,-374.606,346.714,-407.539,311.327,48.3406,-418.723,315.762,53.8912,-405.035,320.919,39.8907,-186.228,261.02,206.953
40,-214.16,202.561,-158.93,211.439,55.9389,-157.913,211.192,56.9054,-167.265,205.314,46.9755,-120.883,236.192,99.1547
41,-404.913,257.636,-481.771,225.758,83.2076,-518.581,245.12,114.356,-468.382,262.524,63.6576,-258.133,197.743,158.529
42,440.896,-581.201,456.341,-653.923,74.3439,461.585,-657.375,78.9338,459.405,-616.301,39.6811,310.008,-245.46,360.352
43,506.023,685.733,497.377,645.692,40.9639,497.695,645.191,41.3887,497.925,647.018,39.553,76.2347,353.896,542.986
44,387.976,-463.154,411.376,-408.283,59.6522,415.647,-402.431,66.7311,415.308,-419.988,51.0916,385.588,-279.877,183.293
45,-115.021,-908.371,-98.845,-883.005,30.0845,-99.0594,-880.028,32.5282,-88.8033,-899.345,27.7275,-73.3386,-248.604,661.082
46,305.102,73.7633,308.365,81.7959,8.67019,308.919,81.4798,8.60892,308.634,80.7428,7.82262,271.595,50.2208,40.9502
47,-390.903,-104.35,-267.737,-217.111,166.988,-286.747,-223.318,158.119,-307.718,-185.916,116.502,-482.058,-282.757,200.345
48,238.2,-471.648,247.581,-488.757,19.5117,246.864,-504.908,34.3698,245.551,-463.871,10.7012,217.686,-259.721,212.918
49,988.624,-51.1461,984.815,-5.37595,45.9284,984.376,-3.61049,47.725,985.302,-4.03267,47.2304,480.189,-131.45,514.737
50,435.8,-508.31,417.812,-655.793,148.576,422.36,-658.292,150.583,420.028,-567.709,61.457,310.381,-237.325,298.601
51,387.957,-447.008,384.817,-414.53,32.6293,379.783,-441.326,9.95498,383.159,-417.189,30.2031,366.008,-276.975,171.444
52,230.008,-743.501,276.554,-746.686,46.6552,275.028,-768.734,51.609,261.031,-721.571,37.9919,205.703,-288.317,455.833
53,-768.928,414.731,-802.147,344.51,77.6821,-817.231,352.205,79.0103,-793.993,372.978,48.6988,-302.803,155.846,533.192
54,185.131,200.755,167.464,212.033,20.9603,165.834,211.251,21.9671,168.812,217.361,23.2832,141.063,224.788,50.1962
55,-596.963,471.246,-588.543,519.911,49.3882,-594.614,520.162,48.9727,-589.112,524.626,53.9546,-154.647,303.606,473.018
56,-199.217,289.995,-245.634,318.078,54.2513,-245.41,317.606,53.8156,-244.814,317.572,53.2877,-109.427,321.223,95.0655
57,101.181,-941.702,84.2217,-952.668,20.1954,84.3403,-992.821,53.821,13.6874,299.505,1244.29,46.1023,-240.2,703.661
58,632.333,-648.99,657.518,-570.477,82.4529,653.741,-569.544,82.2795,653.661,-617.864,37.7318,423.393,-286.321,418.551
59,-267.96,490.881,-338.415,553.067,93.974,-425.407,577.856,179.873,-304.279,566.365,83.7668,-114.63,494.162,153.365
60,-12.483,-837.72,-94.5174,-846.549,82.5081,-94.0327,-844.358,81.8194,-61.7736,-826.963,50.4506,-69.7825,-240.996,599.468
61,-64.8211,85.7486,-99.5509,57.3504,44.8623,-99.3665,57.4119,44.6806,-78.2729,72.3699,18.9721,-64.5397,142.805,57.0574
62,-172.918,-300.269,-122.572,-233.013,84.0123,-124.167,-233.567,82.6183,-123.201,-251.45,69.6782,-125.55,-95.5944,210.084
63,802.694,640.414,766.536,635.5,36.4902,765.64,635.16,37.4243,765.842,648.212,37.6673,174.213,253.265,738.155
64,-630.117,-129.858,-638.853,-130.406,8.7535,-638.973,-130.334,8.86947,-639.954,-131.185,9.92614,-474.971,-194.412,168.04
65,-632.209,-115.13,-598.86,-52.2249,71.1982,-598.091,-54.2597,69.7801,-601.119,-81.76,45.6088,-436.174,-159.53,201.001
66,762.425,-353.96,719.72,-404.872,66.4518,714.44,-437.095,95.9894,717.054,-422.073,81.8409,491.882,-274.635,281.932
67,513.692,755.907,493.488,796.538,45.3764,503.15,798.184,43.5713,473.296,776.571,45.3735,-26.3574,443.92,623.69
68,492,-611.021,441.315,-624.009,52.3224,444.926,-594.882,49.7633,464.437,-650.558,48.1966,315.343,-258.672,394.154
69,247.133,-232.092,252.046,-240.317,9.58015,252.282,-240.159,9.56967,252.61,-240.041,9.65344,254.526,-156.312,76.1402
70,648.794,-13.9576,626.435,4.67659,29.1065,637.775,37.7066,52.8263,660.606,19.0778,35.0836,447.007,-146.262,241.293
71,-390.627,-76.7372,-404.863,-69.1846,16.115,-404.216,-67.727,16.3043,-409.652,-58.1707,26.5831,-347.707,-101.508,49.5553
72,-870.049,68.1663,-834.299,112.31,56.8045,-830.034,108.005,56.4655,-850.108,92.1608,31.1989,-442.517,-59.9869,446.326
73,777.29,133.213,764.646,184.078,52.4132,763.625,184.418,52.9972,763.807,157.723,27.9734,442.567,-34.7058,374.482
74,236.113,-60.2739,190.549,-61.8673,45.592,190.601,-65.2373,45.7815,192.39,-43.9255,46.6795,188.766,0.596625,77.1162
75,39.1347,-111.037,-3.86234,-94.2731,46.1495,-2.11393,-96.3458,43.7868,-2.79779,-94.3831,45.1186,19.9572,63.2794,175.368
76,683.656,-734.342,666.462,-730.034,17.726,665.339,-730.43,18.73,665.442,-748.534,23.0899,385.305,-287.694,537.129
77,524.837,-730.781,520.013,-758.838,28.4696,521.388,-759.038,28.4675,520.997,-730.781,3.84033,316.838,-275.085,500.922
78,841.744,-436.612,812.989,-438.397,28.8104,815.402,-432.799,26.6166,824.609,-449.225,21.2762,483.291,-269.309,395.574
79,-603.269,-227.439,-592.409,-241.873,18.0635,-596.921,-240.557,14.5737,-599.722,-232.637,6.29358,-490.377,-289.656,128.902
80,984.27,-56.343,988.238,-30.3671,26.2772,988.237,-30.4741,26.1713,988.208,-20.7648,35.7954,493.367,-140.403,498.048
81,420.17,-282.681,413.682,-260.262,23.3386,412.792,-260.129,23.7285,412.755,-282.581,7.41545,397.885,-242.442,45.9976
82,573.758,833.855,592.988,846.411,22.9659,610.573,849.717,40.087,586.802,815.868,22.2189,30.9793,389.246,701.631
83,-964.256,-89.9373,-938.76,-85.8865,25.8155,-939.966,-85.2947,24.729,-932.764,-79.8532,33.0672,-490.452,-151.612,477.801
84,395.72,747.61,422.22,805.996,64.1186,376.504,800.256,56.0427,403.588,814.513,67.3644,-45.1645,462.118,525.247
85,-670.253,543.998,-634.03,579.208,50.5167,-628.492,576.771,53.0861,-632.121,565.932,43.9911,-120.343,343.422,585.348
86,-560.431,707.097,-668.898,649.304,122.903,-674.55,651.323,127.02,-665.236,657.414,115.986,-108.508,397.858,547.598
