===== Beacon Round @ 0s =====
GW 0 [x=900, y=100, z=15] → ED 0 | Distance: 671.875 m | RSSI: -98.3589 dBm | Packet Size: 16 bytes | Noise: 2.61537 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 1 | Distance: 1183.35 m | RSSI: -105.031 dBm | Packet Size: 16 bytes | Noise: 1.46446 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 2 | Distance: 1126.41 m | RSSI: -110.083 dBm | Packet Size: 16 bytes | Noise: 1.28672 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 4 | Distance: 718.581 m | RSSI: -100.199 dBm | Packet Size: 16 bytes | Noise: 0.421519 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 7 | Distance: 1483.66 m | RSSI: -115.67 dBm | Packet Size: 16 bytes | Noise: -3.12326 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 8 | Distance: 740.855 m | RSSI: -99.5352 dBm | Packet Size: 16 bytes | Noise: -0.166584 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 10 | Distance: 1692.15 m | RSSI: -110.699 dBm | Packet Size: 16 bytes | Noise: 0.775498 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 11 | Distance: 1339.15 m | RSSI: -107.015 dBm | Packet Size: 16 bytes | Noise: 2.3923 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 13 | Distance: 717.862 m | RSSI: -96.2772 dBm | Packet Size: 16 bytes | Noise: 1.33605 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 16 | Distance: 210.52 m | RSSI: -112.474 dBm | Packet Size: 16 bytes | Noise: -0.325609 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 17 | Distance: 420.568 m | RSSI: -90.4771 dBm | Packet Size: 16 bytes | Noise: -1.6371 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 18 | Distance: 619.232 m | RSSI: -99.3247 dBm | Packet Size: 16 bytes | Noise: -0.988797 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 19 | Distance: 1462.23 m | RSSI: -108.381 dBm | Packet Size: 16 bytes | Noise: 2.64927 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 20 | Distance: 1579.67 m | RSSI: -112.8 dBm | Packet Size: 16 bytes | Noise: -0.631278 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 22 | Distance: 1474.96 m | RSSI: -114.407 dBm | Packet Size: 16 bytes | Noise: -2.26623 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 26 | Distance: 1278.62 m | RSSI: -111.533 dBm | Packet Size: 16 bytes | Noise: 0.541996 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 33 | Distance: 143.545 m | RSSI: -96.6472 dBm | Packet Size: 16 bytes | Noise: 0.218715 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 34 | Distance: 1638.83 m | RSSI: -114.647 dBm | Packet Size: 16 bytes | Noise: 1.78099 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 37 | Distance: 1154.45 m | RSSI: -106.564 dBm | Packet Size: 16 bytes | Noise: 1.93486 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 38 | Distance: 140.976 m | RSSI: -103.993 dBm | Packet Size: 16 bytes | Noise: -1.70599 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 39 | Distance: 1323.81 m | RSSI: -116.992 dBm | Packet Size: 16 bytes | Noise: -0.108426 dBm | Tx power: 14 dBm
GW 0 [x=900, y=100, z=15] → ED 42 | Distance: 865.738 m | RSSI: -101.657 dBm | Packet Size: 16 bytes | Noise: -1.74924 dBm | Tx power: 14 dBm
