0s, GW0: 52%, GW1: 52%, GW2: 44%
60s, GW0: 52%, GW1: 55%, GW2: 42%
120s, GW0: 49%, GW1: 52%, GW2: 40%
180s, GW0: 52%, GW1: 56%, GW2: 43%
240s, GW0: 57%, GW1: 58%, GW2: 49%
300s, GW0: 48%, GW1: 54%, GW2: 43%
360s, GW0: 48%, GW1: 57%, GW2: 41%
420s, GW0: 44%, GW1: 49%, GW2: 39%
480s, GW0: 40%, GW1: 49%, GW2: 39%
540s, GW0: 46%, GW1: 49%, GW2: 41%
600s, GW0: 42%, GW1: 43%, GW2: 35%
660s, GW0: 47%, GW1: 52%, GW2: 42%
720s, GW0: 45%, GW1: 54%, GW2: 36%
780s, GW0: 47%, GW1: 54%, GW2: 41%
840s, GW0: 43%, GW1: 51%, GW2: 39%
900s, GW0: 48%, GW1: 57%, GW2: 39%
960s, GW0: 47%, GW1: 54%, GW2: 39%
1020s, GW0: 46%, GW1: 48%, GW2: 37%
1080s, GW0: 46%, GW1: 56%, GW2: 42%
1140s, GW0: 47%, GW1: 55%, GW2: 41%
1200s, GW0: 55%, GW1: 60%, GW2: 43%
1260s, GW0: 49%, GW1: 52%, GW2: 42%
1320s, GW0: 50%, GW1: 56%, GW2: 42%
1380s, GW0: 47%, GW1: 58%, GW2: 42%
1440s, GW0: 49%, GW1: 57%, GW2: 43%
1500s, GW0: 45%, GW1: 54%, GW2: 39%
1560s, GW0: 42%, GW1: 48%, GW2: 36%
1620s, GW0: 41%, GW1: 52%, GW2: 43%
1680s, GW0: 47%, GW1: 54%, GW2: 39%
1740s, GW0: 40%, GW1: 51%, GW2: 37%
1800s, GW0: 39%, GW1: 52%, GW2: 36%
1860s, GW0: 44%, GW1: 53%, GW2: 35%
1920s, GW0: 46%, GW1: 51%, GW2: 38%
1980s, GW0: 52%, GW1: 55%, GW2: 45%
2040s, GW0: 45%, GW1: 51%, GW2: 42%
2100s, GW0: 47%, GW1: 54%, GW2: 42%
2160s, GW0: 42%, GW1: 50%, GW2: 38%
2220s, GW0: 46%, GW1: 51%, GW2: 36%
2280s, GW0: 41%, GW1: 51%, GW2: 39%
2340s, GW0: 46%, GW1: 50%, GW2: 39%
2400s, GW0: 50%, GW1: 57%, GW2: 42%
2460s, GW0: 47%, GW1: 54%, GW2: 42%
2520s, GW0: 48%, GW1: 54%, GW2: 40%
2580s, GW0: 43%, GW1: 52%, GW2: 38%
2640s, GW0: 45%, GW1: 50%, GW2: 46%
2700s, GW0: 50%, GW1: 54%, GW2: 39%
2760s, GW0: 49%, GW1: 59%, GW2: 47%
2820s, GW0: 44%, GW1: 54%, GW2: 39%
2880s, GW0: 44%, GW1: 51%, GW2: 39%
2940s, GW0: 41%, GW1: 49%, GW2: 33%
3000s, GW0: 45%, GW1: 54%, GW2: 42%
3060s, GW0: 48%, GW1: 55%, GW2: 40%
3120s, GW0: 48%, GW1: 56%, GW2: 44%
3180s, GW0: 42%, GW1: 54%, GW2: 40%
3240s, GW0: 48%, GW1: 56%, GW2: 42%
3300s, GW0: 44%, GW1: 51%, GW2: 34%
3360s, GW0: 49%, GW1: 55%, GW2: 40%
3420s, GW0: 46%, GW1: 51%, GW2: 35%
3480s, GW0: 49%, GW1: 50%, GW2: 37%
3540s, GW0: 40%, GW1: 51%, GW2: 35%
3600s, GW0: 49%, GW1: 54%, GW2: 41%
3660s, GW0: 44%, GW1: 50%, GW2: 33%
3720s, GW0: 43%, GW1: 51%, GW2: 37%
3780s, GW0: 45%, GW1: 57%, GW2: 40%
3840s, GW0: 47%, GW1: 52%, GW2: 37%
3900s, GW0: 49%, GW1: 54%, GW2: 38%
3960s, GW0: 47%, GW1: 55%, GW2: 44%
4020s, GW0: 50%, GW1: 52%, GW2: 42%
4080s, GW0: 49%, GW1: 53%, GW2: 43%
4140s, GW0: 53%, GW1: 56%, GW2: 39%
