ED,ActualX,ActualY,EstimatedX,EstimatedY,Error
0,366.629,361.968,310.373,403.826,70.1197
1,-231.023,-439.531,-165.492,-427.611,66.606
2,-26.6799,775.426,-7.79672,754.747,28.0032
3,265.009,-308.8,260.862,-332.013,23.5807
4,178.492,-98.5159,199.038,-122.047,31.239
5,262.836,-378.562,280.668,-315.536,65.5004
6,305.441,-320.629,237.442,-318.758,68.0245
7,-411.463,-604.047,-378.801,-659.54,64.392
8,363.174,577.015,331.406,575.419,31.808
9,295.012,-889.884,270.426,-879.221,26.7985
10,-636.058,-613.282,-637.961,-604.558,8.92899
11,-255.025,-736.32,-186.187,-683.239,86.9267
12,358.715,432.901,406.522,418.588,49.9035
13,321.577,-310.631,318.138,-326.476,16.2139
14,659.754,-518.362,622.797,-504.446,39.491
15,2.89435,-12.9085,5.13285,1.22739,14.3121
16,724.358,-15.1338,737.875,2.39341,22.1339
17,749.78,356.906,626.851,401.129,130.642
18,636.797,629.837,610.902,636.805,26.8159
19,-150.385,-986.579,-87.5325,-1020.11,71.2351
20,-764.738,159.78,-641.387,88.8598,142.285
21,-366.627,173.931,-347.334,188.354,24.0886
22,-420.542,-639.806,-370.058,-670.504,59.0849
23,-58.4995,528.04,-57.2454,562.731,34.7133
24,-437.774,-439.775,-460.342,-389.424,55.1777
25,-84.8654,-573.197,-79.5353,-560.797,13.4975
26,-5.92907,-788.645,-21.5485,-761.103,31.6627
27,-18.6053,-721.664,-79.8046,-700.07,64.897
28,-9.56567,933.8,-14.895,862.003,71.9941
29,-822.702,349.032,-814.41,389.566,41.3736
30,-79.5203,163.417,11.6373,132.266,96.333
31,-595.603,-104.131,-611.17,-99.6335,16.2041
32,-391.152,-181.101,-337.661,-185.263,53.653
33,935.023,-55.945,962.44,-26.6944,40.0911
34,-763.478,-23.1869,-733.14,-36.0021,32.9341
35,-345.231,-23.5262,-416.113,-14.7603,71.422
36,209.331,192.946,252.549,200.504,43.8742
37,-224.361,557.713,-161.915,520.301,72.7958
38,840.142,16.9912,820.865,12.9139,19.7037
39,-374.606,346.714,-403.379,326.674,35.0638
40,-214.16,202.561,-167.061,208.39,47.4583
41,-404.913,257.636,-441.824,264.049,37.4638
42,440.896,-581.201,439.206,-604.234,23.0952
43,506.023,685.733,490.732,653.485,35.6898
44,387.976,-463.154,423.336,-394.399,77.3154
45,-115.021,-908.371,-102.24,-864.56,45.6362
46,305.102,73.7633,310.187,79.5419,7.69779
48,238.2,-471.648,230.067,-497.538,27.1379
49,988.624,-51.1461,991.829,-9.36852,41.9003
50,435.8,-508.31,416.12,-568.853,63.6616
51,387.957,-447.008,383.392,-409.173,38.1098
52,230.008,-743.501,272.541,-750.194,43.0571
53,-768.928,414.731,-811.636,362.046,67.8206
54,185.131,200.755,177.427,223.284,23.8098
55,-596.963,471.246,-567.169,531.571,67.2812
56,-199.217,289.995,-240.209,322.516,52.3251
58,632.333,-648.99,670.547,-628.509,43.3558
59,-267.96,490.881,-362.76,572.325,124.981
60,-12.483,-837.72,-108.158,-789.326,107.218
61,-64.8211,85.7486,-43.1733,89.388,21.9515
62,-172.918,-300.269,-89.8389,-277.012,86.2733
63,802.694,640.414,785.223,630.678,20.0004
64,-630.117,-129.858,-635.718,-133.904,6.90958
65,-632.209,-115.13,-544.964,-120.317,87.3995
66,762.425,-353.96,707.533,-408.339,77.2674
67,513.692,755.907,472.438,765.43,42.3384
68,492,-611.021,453.524,-629.221,42.5634
69,247.133,-232.092,219.752,-257.746,37.5212
70,648.794,-13.9576,674.643,-19.179,26.3709
71,-390.627,-76.7372,-436.244,-93.358,48.5507
72,-870.049,68.1663,-865.298,71.9447,6.06991
73,777.29,133.213,759.223,160.334,32.5879
74,236.113,-60.2739,150.256,-26.0999,92.4075
75,39.1347,-111.037,-4.2952,-95.5333,46.1142
76,683.656,-734.342,678.918,-748.153,14.6013
77,524.837,-730.781,487.324,-705.652,45.1516
78,841.744,-436.612,819.979,-442.036,22.4303
79,-603.269,-227.439,-560.827,-273.898,62.9276
80,984.27,-56.343,988.827,-20.8135,35.8205
81,420.17,-282.681,392.479,-270.316,30.3258
82,573.758,833.855,581.924,828.824,9.5914
83,-964.256,-89.9373,-872.291,-56.0984,97.9928
84,395.72,747.61,402.368,786.599,39.5514
85,-670.253,543.998,-609.61,542.329,60.6667
86,-560.431,707.097,-680.885,664.527,127.756
87,524.987,880.73,531.26,866.614,15.447
88,-315.785,367.152,-329.16,425.725,60.0803
89,-774.724,107.463,-794.863,118.507,22.9679
90,274.487,147.144,307.598,173.793,42.5025
91,-102.651,-111.971,-231.854,-42.6253,146.637
92,736.833,-670.796,712.961,-648.654,32.5602
93,-273.6,-448.072,-158.59,-468.92,116.885
94,-355.385,732.137,-354.266,753.726,21.6182
95,-166.928,-411.526,-122.577,-402.598,45.2409
96,-751.552,-293.908,-716.315,-365.663,79.9404
97,898.452,293.032,890.057,319.753,28.0083
98,736.887,-365.199,749.958,-416.348,52.7923
99,-314.653,-769.925,-344.096,-756.507,32.3567
